ros_time,wall_time,cmd_vx,cmd_vy,cmd_wz,wheel_vx,wheel_vy,wheel_wz,icp_msg_age,icp_healthy,icp_frozen_count,icp_vx,icp_vy,icp_wz,icp_px,icp_py,icp_pyaw,icp_cov_xx,icp_cov_yy,icp_cov_aa,imu_wz,imu_cov,imu_msg_age,wheel_px,wheel_py,wheel_pyaw,amcl_px,amcl_py,amcl_pyaw,map2odom_x,map2odom_y,map2odom_yaw,particle_count,scan_valid_pts,scan_near_ratio,lf_mode,lf_error_deg,lf_center_count,lf_kanbujian,lf_vision_valid,lf_lane_tracks,lf_pair_valid,lf_pair_slope_diff,lf_half_width,lf_half_width_samples,lf_far_turn,lf_far_confidence,lf_far_points,lf_image_age,wz_sign_flip_event
1785480175.6711702,1785480175.671203,0.24,0.0,-0.30626158323795144,0.21674661834370368,0.010566397644255552,-0.34975249617471776,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8932504495621885,-11.719494477520657,-2.038590709577974,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-24.1,87,1,1,1,0,,230.8,0,normal,0.286,12,0.02,0
1785480175.720909,1785480175.7209213,0.24,0.0,-0.4061408896117556,0.24925861109525926,0.0,-0.24982321155336984,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8876476976661707,-11.730584769444066,-2.0510440464217665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-26.2,89,1,1,1,0,,230.8,0,normal,0.286,12,0.02,0
1785480175.7662168,1785480175.7662253,0.24,0.0,-0.3433647287957448,0.22216528380229628,-0.005283198822127783,-0.3247701750193808,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8822580960902646,-11.740356708110912,-2.06735311474096,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-35.9,84,1,1,1,0,,230.8,0,normal,0.31,13,0.01,0
1785480175.8195863,1785480175.8195994,0.24,0.0,-0.46501112715227955,0.23300261471948147,-0.005283198822127769,-0.3247701750193809,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8764941926560277,-11.750441637844435,-2.0835397060565204,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-40.4,77,1,1,1,0,,230.8,0,normal,0.333,14,0.02,0
1785480175.866235,1785480175.8662431,0.24,0.0,-0.9583339763708312,0.23842128017807407,0.0,-0.3997171384853918,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.870638500642655,-11.760843140025273,-2.1035514658505154,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-41.2,65,1,1,1,0,,230.8,0,normal,0.333,14,0.01,0
1785480175.9180293,1785480175.9180663,0.24,0.0,-1.082098337155247,0.22216528380229628,-0.005283198822127769,-0.37473481733005476,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8647767627297596,-11.770265222159543,-2.122263323575678,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-38.0,57,1,1,1,0,,230.8,0,normal,0.333,14,0.03,0
1785480175.968983,1785480175.9690123,0.24,0.0,-0.9727468927034707,0.18423462559214818,0.0,-0.8493989192814577,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8599915158507963,-11.778044524292744,-2.164371406063961,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-27.9,20,1,1,1,0,,230.8,0,normal,0.333,14,0.02,0
1785480176.019805,1785480176.0198386,0.24,0.0,-0.9372693535428724,0.18423462559214818,0.0,-0.8493989192814577,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8599915158507963,-11.778044524292744,-2.164371406063961,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-27.9,2,1,0,1,0,,230.8,0,normal,0.333,14,0.03,0
1785480176.069102,1785480176.0691395,0.08,0.0,-0.35,0.2167466183437037,0.0,-0.9992928462134795,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8478086893149779,-11.79609995316793,-2.264791781163067,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-70.4,58,1,1,1,0,,230.8,0,normal,0.357,15,0.01,0
1785480176.121079,1785480176.1211097,0.24,0.0,-2.759384569562029,0.2330026147194815,0.005283198822127783,-0.9743105250581424,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.8403819075732182,-11.80544872013709,-2.3147053410724165,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,RUNNING,-69.3,65,1,1,1,0,,230.8,0,normal,0.333,14,0.02,0
